Campaign,Date,City/Location,Channel,Device,Ad,Impressions,"CTR, %",Clicks,Daily Average CPC,"Spend, INR",Conversions,"Total conversion value, INR",Likes (Reactions),Shares,Comments
Festival Delight,3/1/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3560,7.7%,122,32,754,21,11630,11,13,3
Festival Delight,3/2/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4640,9.6%,198,66,2516,7,2125,36,38,17
Festival Delight,3/3/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4667,8.3%,172,22,707,7,6897,53,9,7
Festival Delight,3/4/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5888,8.6%,226,91,3930,3,2511,44,7,13
Festival Delight,3/5/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3048,6.6%,90,101,1726,3,6221,20,16,7
Festival Delight,3/6/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4878,6.1%,132,83,2105,10,2705,27,38,7
Festival Delight,3/7/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,6178,6.1%,168,28,910,17,1546,25,40,27
Festival Delight,3/8/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5243,8.9%,208,118,4712,10,2318,34,38,23
Festival Delight,3/9/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4774,6.6%,140,9,236,7,5883,25,4,7
Festival Delight,3/10/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4945,5.3%,118,14,308,17,5023,60,4,7
Festival Delight,3/11/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4868,7.1%,154,125,3687,7,4637,23,27,3
Festival Delight,3/12/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5472,9.5%,232,83,3689,7,1352,28,47,3
Festival Delight,3/13/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5447,10.0%,242,27,1267,14,2511,73,27,7
Festival Delight,3/14/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5017,5.7%,128,107,2616,3,3574,41,2,23
Festival Delight,3/15/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3345,6.4%,96,112,2066,17,1063,27,40,17
Festival Delight,3/16/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5270,8.2%,191,57,2078,10,5274,42,9,7
Festival Delight,3/17/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5079,5.1%,116,4,87,3,5680,60,4,13
Festival Delight,3/18/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2986,5.9%,79,40,606,0,4327,74,29,23
Festival Delight,3/19/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3742,9.5%,158,16,472,0,5950,62,31,10
Festival Delight,3/20/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5939,7.9%,209,74,2974,10,5815,10,7,3
Festival Delight,3/21/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4111,9.6%,175,62,2065,17,2318,18,36,7
Festival Delight,3/22/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3832,6.8%,117,76,1706,17,1642,57,29,13
Festival Delight,3/23/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3542,5.9%,93,71,1269,10,5796,46,2,17
Festival Delight,1/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3914,8.8%,153,104,3029,10,3574,74,16,10
Festival Delight,1/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5401,8.3%,200,7,262,10,2318,25,11,20
Festival Delight,1/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3930,6.2%,108,49,1014,14,4395,59,25,20
Festival Delight,1/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4208,7.5%,142,26,715,17,193,27,27,0
Festival Delight,1/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4285,6.5%,125,36,865,7,4530,60,4,13
Festival Delight,1/29/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4541,5.8%,118,29,663,17,2222,16,7,0
Festival Delight,1/30/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5240,8.9%,207,87,3444,10,3864,68,4,20
Festival Delight,1/31/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3855,9.2%,158,58,1747,0,5120,49,2,20
Festival Delight,2/1/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3317,6.9%,102,42,820,7,869,62,7,0
Festival Delight,2/2/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5489,6.7%,165,109,3457,7,3671,14,7,0
Festival Delight,2/3/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2681,6.0%,72,123,1701,14,97,30,9,20
Festival Delight,2/4/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3445,7.4%,114,58,1254,0,9602,65,54,17
Festival Delight,2/5/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3193,6.0%,85,73,1196,0,5206,31,2,20
Festival Delight,2/6/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4244,7.7%,146,72,2016,14,13253,50,18,0
Festival Delight,2/7/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5259,8.9%,209,13,508,3,14538,39,20,23
Festival Delight,2/8/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3922,9.1%,158,121,3674,14,21164,75,4,10
Festival Delight,2/9/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3067,7.9%,108,122,2526,10,10278,90,49,17
Festival Delight,2/10/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3593,9.0%,143,37,1020,7,5747,86,20,3
Festival Delight,2/11/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4013,6.9%,123,71,1684,7,5699,33,51,7
Festival Delight,2/12/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5358,9.1%,218,65,2686,7,4733,101,9,17
Festival Delight,2/13/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3947,8.9%,156,131,3907,14,5342,91,36,20
Festival Delight,2/14/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,6486,7.8%,226,86,3713,7,773,82,25,3
Festival Delight,2/15/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5455,7.7%,188,101,3631,10,3381,86,7,7
Festival Delight,2/16/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3629,5.2%,84,94,1506,0,5612,34,0,13
Festival Delight,2/17/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5534,6.2%,154,122,3600,14,4260,81,11,20
Festival Delight,2/18/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5622,6.6%,166,42,1339,10,4395,86,11,10
Festival Delight,2/19/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4941,7.1%,156,84,2514,0,9263,70,2,0
Festival Delight,5/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4177,6.8%,126,109,2650,3,3574,15,38,20
Festival Delight,5/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2850,7.9%,100,36,695,3,3284,62,45,23
Festival Delight,5/29/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4838,7.5%,163,83,2589,10,8249,20,49,17
Festival Delight,5/30/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3210,8.4%,120,140,3198,7,9331,30,38,20
Festival Delight,5/31/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4211,7.2%,135,33,859,7,18459,71,16,7
Festival Delight,6/1/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3100,7.1%,99,149,2808,17,1835,52,20,17
Festival Delight,6/2/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2862,7.2%,92,69,1228,10,1449,11,47,17
Festival Delight,6/3/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4948,7.0%,154,112,3319,10,4250,75,2,10
Festival Delight,6/4/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5876,7.4%,194,52,1921,10,5120,59,7,13
Festival Delight,6/5/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3221,9.9%,142,32,879,7,4637,81,7,23
Festival Delight,6/6/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3428,9.0%,138,58,1519,14,290,66,9,3
Festival Delight,6/7/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5323,6.0%,142,111,3030,17,1352,65,27,0
Festival Delight,6/8/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4596,9.9%,203,123,4788,10,386,97,16,3
Festival Delight,6/9/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5800,8.4%,217,38,1585,17,2705,65,18,10
Festival Delight,12/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5560,7.3%,182,124,4326,14,869,34,51,0
Festival Delight,12/26/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4806,6.8%,146,94,2614,14,5313,93,4,7
Festival Delight,12/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5533,9.3%,228,57,2478,7,4666,93,2,3
Festival Delight,12/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3829,6.7%,115,34,754,7,1256,66,36,3
Festival Delight,12/29/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5164,5.7%,132,67,1705,0,17039,66,9,17
Festival Delight,12/30/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3118,7.4%,103,102,2000,7,8587,55,20,27
Festival Delight,12/31/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5894,8.9%,233,125,5572,10,15349,31,33,13
Festival Delight,11/17/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,6418,8.5%,243,49,2276,17,6424,55,11,0
Festival Delight,11/18/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5423,6.0%,146,76,2130,0,9602,76,4,13
Festival Delight,11/19/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,6410,9.0%,257,80,3948,7,12306,75,2,3
Festival Delight,11/20/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4088,6.3%,116,114,2529,7,18054,37,4,17
Festival Delight,11/21/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2908,8.6%,111,83,1764,10,2898,70,4,20
Festival Delight,11/22/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4003,7.0%,126,29,706,0,16837,28,36,13
Festival Delight,11/23/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3357,9.5%,142,76,2077,14,6965,62,40,20
Heritage Exclusive Sale,11/24/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1869,7.3%,61,44,515,10,5023,37,29,0
Heritage Exclusive Sale,11/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2176,6.6%,64,65,807,10,13929,89,2,13
Heritage Exclusive Sale,11/26/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1829,8.7%,71,69,937,17,5409,74,11,40
Heritage Exclusive Sale,11/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1631,6.3%,46,83,733,3,10886,23,11,17
Heritage Exclusive Sale,11/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2676,6.1%,73,122,1712,14,966,36,2,0
Heritage Exclusive Sale,11/29/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3517,5.4%,84,78,1263,21,5612,37,11,3
Heritage Exclusive Sale,11/30/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3141,8.4%,118,63,1409,21,15890,59,58,0
Heritage Exclusive Sale,12/1/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2456,8.4%,91,126,2207,14,29210,57,7,17
Heritage Exclusive Sale,12/2/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2691,5.9%,71,92,1253,14,22381,70,22,3
Heritage Exclusive Sale,12/3/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2176,7.2%,70,120,1606,24,10481,37,56,30
Heritage Exclusive Sale,12/4/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1366,6.9%,42,80,649,17,4868,73,9,27
Heritage Exclusive Sale,12/5/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1629,7.7%,56,56,596,7,14538,46,60,27
Heritage Exclusive Sale,12/6/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2885,6.4%,82,128,2014,10,1352,42,47,3
Heritage Exclusive Sale,12/7/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1867,7.5%,63,97,1163,3,7370,52,20,20
Heritage Exclusive Sale,7/8/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1761,6.3%,50,18,168,14,4154,28,49,7
Heritage Exclusive Sale,7/9/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,860,5.8%,22,60,255,10,483,79,7,37
Heritage Exclusive Sale,7/10/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2054,7.2%,66,64,807,17,18256,90,49,3
Heritage Exclusive Sale,7/11/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1709,8.6%,65,98,1219,17,10616,71,49,30
Heritage Exclusive Sale,7/12/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1628,6.2%,45,130,1117,10,290,76,13,17
Heritage Exclusive Sale,7/13/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3814,8.4%,142,79,2152,14,8587,42,42,17
Heritage Exclusive Sale,7/14/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1504,7.6%,51,60,585,21,5216,39,16,17
Heritage Exclusive Sale,7/15/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2080,7.0%,65,65,813,10,1063,65,29,40
Heritage Exclusive Sale,7/16/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,898,6.2%,25,51,241,3,386,82,22,27
Heritage Exclusive Sale,7/17/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3648,7.4%,120,50,1148,14,16904,64,47,17
Heritage Exclusive Sale,7/18/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1278,5.4%,31,67,396,14,12239,92,36,10
Heritage Exclusive Sale,7/19/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1994,6.5%,58,57,631,14,4830,71,18,23
Heritage Exclusive Sale,7/20/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1117,6.2%,31,78,465,14,26506,34,2,27
Heritage Exclusive Sale,7/21/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3428,8.4%,128,56,1361,10,11698,43,40,10
Heritage Exclusive Sale,7/22/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1364,6.5%,39,95,716,17,1642,34,38,13
Heritage Exclusive Sale,7/23/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1918,5.5%,47,60,540,21,6965,71,29,13
Heritage Exclusive Sale,7/24/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3440,7.6%,117,95,2128,24,1642,32,16,3
Heritage Exclusive Sale,7/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1840,6.8%,56,15,156,10,7641,90,38,43
Heritage Exclusive Sale,7/26/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2448,8.8%,96,62,1126,3,10548,91,16,30
Heritage Exclusive Sale,7/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1662,6.7%,50,95,906,21,2608,68,4,27
Heritage Exclusive Sale,7/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2127,6.0%,57,90,977,14,6153,53,9,7
Heritage Exclusive Sale,7/29/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1479,7.4%,49,87,812,17,6626,87,47,20
Heritage Exclusive Sale,7/30/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1550,7.9%,54,36,375,7,5023,54,42,20
Heritage Exclusive Sale,7/31/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4193,7.5%,140,72,1940,17,2125,42,31,40
Heritage Exclusive Sale,8/1/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3386,7.1%,108,92,1897,21,2125,23,29,27
Heritage Exclusive Sale,8/2/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1759,7.6%,60,130,1482,14,1063,75,31,30
Heritage Exclusive Sale,8/3/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1567,6.5%,45,50,433,21,15958,96,62,33
Heritage Exclusive Sale,8/4/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1548,5.5%,38,105,758,7,4868,91,31,40
Heritage Exclusive Sale,8/5/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3608,6.5%,104,69,1387,17,3091,95,31,13
Heritage Exclusive Sale,8/6/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1795,8.8%,70,119,1608,10,5747,59,4,7
Heritage Exclusive Sale,8/7/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2952,6.6%,87,140,2321,10,10616,64,60,3
Heritage Exclusive Sale,8/8/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2872,5.8%,74,93,1317,17,5747,48,7,17
Heritage Exclusive Sale,8/9/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1026,8.9%,40,58,447,0,5883,31,31,20
Heritage Exclusive Sale,8/10/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2341,7.2%,76,35,509,3,10954,95,58,40
Heritage Exclusive Sale,8/11/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2233,6.2%,62,44,523,7,5612,34,60,33
Heritage Exclusive Sale,8/12/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3444,6.2%,96,21,376,3,5680,80,11,23
Heritage Exclusive Sale,8/13/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1935,7.6%,66,62,773,0,8790,90,71,7
Heritage Exclusive Sale,8/14/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2979,7.1%,95,22,408,3,1739,69,60,0
Heritage Exclusive Sale,8/15/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2810,5.7%,71,132,1799,3,9602,84,54,13
Heritage Exclusive Sale,8/16/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2991,8.6%,114,36,789,0,5612,65,20,10
Heritage Exclusive Sale,8/17/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2349,8.2%,85,31,511,7,5409,74,9,17
Heritage Exclusive Sale,8/18/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1603,6.8%,49,95,887,7,5950,68,31,7
Heritage Exclusive Sale,8/19/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,978,6.9%,30,6,34,10,9263,69,42,20
Heritage Exclusive Sale,8/20/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1325,8.0%,47,103,929,7,18324,39,7,13
Heritage Exclusive Sale,8/21/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2207,8.1%,80,121,1849,3,2222,80,38,10
Heritage Exclusive Sale,8/22/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3184,8.8%,125,100,2385,3,18730,66,51,3
Heritage Exclusive Sale,8/23/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2634,6.3%,74,55,780,3,17242,64,54,30
Heritage Exclusive Sale,8/24/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1247,6.1%,34,94,608,3,5477,54,16,7
Heritage Exclusive Sale,8/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2982,7.5%,100,113,2163,17,10548,60,31,20
Heritage Exclusive Sale,8/26/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2036,8.8%,80,68,1047,7,14740,85,29,30
Heritage Exclusive Sale,8/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4069,5.5%,100,86,1653,10,6356,34,7,13
Heritage Exclusive Sale,8/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4089,7.0%,128,7,168,0,4154,58,51,23
Heritage Exclusive Sale,8/29/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2409,8.1%,86,64,1052,7,5477,37,54,0
Heritage Exclusive Sale,8/30/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,873,6.0%,23,110,493,10,21570,89,49,17
Heritage Exclusive Sale,8/31/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3065,5.6%,77,115,1700,10,6829,81,56,33
Heritage Exclusive Sale,9/1/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2560,8.4%,95,105,1908,7,1159,66,20,23
Heritage Exclusive Sale,9/2/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3133,7.4%,103,90,1778,7,27993,66,33,10
Heritage Exclusive Sale,9/3/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3869,8.3%,143,36,991,10,10413,37,25,13
Heritage Exclusive Sale,9/4/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3448,7.0%,108,93,1911,7,30292,66,27,13
Heritage Exclusive Sale,9/5/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2090,5.9%,55,111,1170,7,4926,84,0,27
Heritage Exclusive Sale,9/6/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2346,8.3%,87,123,2047,10,41111,44,4,10
Heritage Exclusive Sale,9/7/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2276,7.7%,79,74,1118,7,24410,68,13,20
Heritage Exclusive Sale,9/8/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1382,8.7%,53,66,678,3,29548,80,49,23
Heritage Exclusive Sale,9/9/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3178,8.3%,117,98,2187,14,5545,82,62,20
Heritage Exclusive Sale,9/10/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2777,8.3%,102,57,1109,7,8452,80,38,17
Heritage Exclusive Sale,9/11/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1768,6.5%,51,117,1148,3,7438,73,16,17
Heritage Exclusive Sale,9/12/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3392,6.5%,98,130,2442,3,2511,52,58,17
Heritage Exclusive Sale,9/13/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3495,5.3%,82,23,370,10,27655,81,13,3
Heritage Exclusive Sale,9/14/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2456,7.9%,86,40,663,7,23463,25,51,10
Heritage Exclusive Sale,9/15/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1675,7.9%,59,121,1368,17,3381,96,40,10
Heritage Exclusive Sale,9/16/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3506,7.1%,112,90,1922,7,3477,60,60,23
Heritage Exclusive Sale,9/17/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1962,9.0%,79,26,398,10,18189,48,67,27
Heritage Exclusive Sale,9/18/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3081,7.2%,99,27,518,3,13794,85,36,10
Heritage Exclusive Sale,9/19/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3398,7.3%,111,21,437,7,676,58,42,23
Heritage Exclusive Sale,9/20/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1196,8.8%,47,35,316,17,386,36,65,7
Heritage Exclusive Sale,9/21/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2084,5.3%,49,38,358,0,1642,50,49,33
Heritage Exclusive Sale,9/22/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1571,7.5%,53,19,188,7,5545,39,18,0
Heritage Exclusive Sale,9/23/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2244,5.6%,56,64,679,7,10413,79,58,17
Spice Bazaar ,9/24/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,6812,8.7%,263,73,3688,3,6762,87,13,13
Spice Bazaar ,9/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,7911,6.3%,222,87,3693,0,9399,90,42,20
Spice Bazaar ,9/26/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5358,9.2%,219,32,1350,3,9263,91,47,7
Spice Bazaar ,9/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5335,9.4%,223,141,5997,7,5815,68,78,27
Spice Bazaar ,9/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5539,5.6%,138,85,2245,10,17242,84,13,0
Spice Bazaar ,9/29/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5850,6.9%,181,111,3862,0,2705,106,40,17
Spice Bazaar ,9/30/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,6442,5.7%,165,106,3328,7,4260,64,71,23
Spice Bazaar ,10/1/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5165,9.4%,217,82,3405,7,17513,41,76,13
Spice Bazaar ,10/2/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,8743,9.7%,379,20,1416,7,30698,54,51,17
Spice Bazaar ,10/3/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4854,6.2%,134,112,2882,7,15349,66,42,0
Spice Bazaar ,10/4/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5384,8.4%,200,77,2963,7,7776,96,54,7
